LOTE;Orden en el encadenado;LOTE parental;ID Bioreactor;Fecha/hora inicio;Fecha/hora fin;Volumen de inóculo utilizado;Turbidez inicio cultivo;Turbidez fin cultivo;Viabilidad final cultivo;ID Centrífuga;Centrifugación 1 turbidez;Centrifugación 2 turbidez;Producto 1;Producto 2
23086;1;NA;14614;25/09/2023 8:15;27/09/2023 10:20;83,2;16,2;64,2;1,24E+08;17825;30,4;22,2;1533;4,2
23087;1;NA;14617;26/09/2023 9:30;28/09/2023 10:30;81,2;18,3;70,6;1,31E+08;14246;36,6;44;1096,6;4,6
23088;1;NA;14616;26/09/2023 9:30;28/09/2023 11:15;80,8;19;77,8;1,58E+08;17825;31,7;21,7;2150,6;6,1
23089;1;NA;13169;02/10/2023 8:30;04/10/2023 8:30;82,4;18,3;63;1,46E+08;17825;30,4;17,8;1710,4;5,4
23090;1;NA;14614;02/10/2023 8:30;04/10/2023 10:00;81,6;17,7;60,1;1,41E+08;12912;27;13,2;1265;5,4
23091;1;NA;14615;03/10/2023 8:30;05/10/2023 9:30;82;14,6;65,1;1,26E+08;14246;24,6;31,9;1491,5;5,5
23092;1;NA;14616;03/10/2023 8:30;05/10/2023 10:45;82;18,6;74,4;1,62E+08;17825;26,3;27,1;1439,8;8,2
23093;2;23085;13170;27/09/2023 13:00;29/09/2023 13:00;80;21,8;71,4;1,82+e08;14246;28,8;20;1792,1;6,4
23094;1;NA;14614;09/10/2023 13:15;11/10/2023 13:00;81,2;18,1;42,8;1,00E+08;17825;22,4;10,1;1373,3;4,8
23095;1;NA;13169;09/10/2023 13:15;11/10/2023 13:00;81,2;13,4;44,3;1,19E+08;12912;21,5;10,4;988,1;5,4
23096;1;NA;14617;17/10/2023 9:00;19/10/2023 11:30;80,8;15,1;64,6;1,18E+08;14246;25,3;18,6;1446,7;5,8
23097;1;NA;14616;17/10/2023 9:00;19/10/2023 9:30;81,6;18,7;68,7;1,19E+08;12912;28,1;20,6;1831,8;5,8
23098;1;NA;14615;17/10/2023 9:00;19/10/2023 9:30;80,8;16,6;81;1,02E+08;17825;30,2;15,4;1470,2;7,4
23099;1;NA;13169;23/10/2023 10:00;25/10/2023 9:00;82,4;21,8;73,4;1,15E+08;12912;33,6;22,2;1310,3;5,9
23100;1;NA;14614;23/10/2023 10:00;25/10/2023 10:00;82;22;74,5;1,44E+08;17825;33,4;17,8;1268,1;5
23101;1;NA;14615;24/10/2023 7:00;26/10/2023 8:30;80,4;17,8;68,9;1,88E+08;14246;27,8;19,8;1332,3;7,4
23102;1;NA;14616;24/10/2023 7:00;26/10/2023 8:00;81,2;19,4;79,4;2,00E+08;17825;31;19,5;1236,7;6,2
23103;1;NA;14616;31/10/2023 10:00;02/11/2023 9:45;80,4;17;76,1;1,80E+08;14246;30,4;27,4;1669;6,2
23104;1;NA;14615;31/10/2023 9:15;02/11/2023 9:45;80;16,4;81,6;1,81E+08;12912;28,7;23,7;2113;7
23105;1;NA;14614;31/10/2023 10:00;02/11/2023 10:00;82,4;14,9;84;1,57E+08;17825;30,5;27,8;1855,4;8,6
23106;2;23099;13169;25/10/2023 12:30;27/10/2023 9:30;NA;20,8;70,2;1,84E+08;14246;27,7;26,3;1351,6;6,7
23107;2;23100;14614;25/10/2023 13:30;27/10/2023 11:30;NA;23,2;71,3;1,63E+08;17825;30,9;23,9;1965,9;7,8
23108;1;NA;13170;06/11/2023 9:00;08/11/2023 9:20;83,2;19,4;75,6;1,96E+08;12912;32;20,8;1784,7;5,3
23109;1;NA;14616;06/11/2023 9:00;08/11/2023 8:20;83,2;18,5;78,5;2,02E+08;14246;34,5;27,6;969,9;3,8
23110;1;NA;14614;07/11/2023 11:30;09/11/2023 10:00;81,6;17,7;80,1;1,95E+08;17825;31,2;22,6;1957,1;6,7
23111;1;NA;14615;07/11/2023 11:30;09/11/2023 9:30;81,6;17,6;74,2;1,95E+08;12912;28,6;24,5;1924;6,6
23112;1;NA;14615;13/11/2023 8:50;15/11/2023 8:25;81,6;18;75,8;1,80E+08;17825;28,6;16,4;1707,6;5,3
23113;1;NA;14616;13/11/2023 8:50;15/11/2023 9:20;81,6;17,6;78,4;1,92E+08;12912;28,7;19,1;1704,3;6,4
23114;1;NA;14614;14/11/2023 7:00;16/11/2023 7:55;81,6;15,3;78,6;1,27E+08;12912;32,4;28,6;1325,3;4,9
23115;2;23108;13170;08/11/2023 13:00;10/11/2023 10:00;80;20,6;80;1,67E+08;12912;29,6;29,5;1655,4;8
23116;2;23109;14616;08/11/2023 12:00;10/11/2023 9:00;80;20,2;76,6;1,86E+08;17825;24,1;24,2;1673,5;7,8
23117;1;NA;13169;14/11/2023 7:00;16/11/2023 7:50;82;17,1;90,4;1,85E+08;14246;26;49;1935,3;8,7
23118;1;NA;13169;20/11/2023 8:20;22/11/2023 8:40;83,2;16,6;75,2;2,40E+08;14246;29,8;54,8;1198,2;4,8
23119;1;NA;13170;20/11/2023 8:20;22/11/2023 8:00;82,4;19,5;73,5;1,84E+08;12912;31,4;16,9;2059,8;5,3
23120;1;NA;14614;21/11/2023 7:40;23/11/2023 8:20;80;19,4;85,6;1,68E+08;17825;32,1;21,4;2338,6;5,4
23121;1;NA;14615;21/11/2023 7:40;23/11/2023 8:15;80;12,6;83,2;2,24E+08;14246;27,4;44,4;1673;7,5
23122;2;23112;14615;15/11/2023 12:15;17/11/2023 9:25;80;19,4;82,4;1,99E+08;17825;29,4;24,1;1978,2;8,5
23123;2;23113;14616;15/11/2023 12:55;17/11/2023 9:15;80;17,4;81,6;1,95E+08;12912;26,2;23;2117,8;8,4
23124;1;NA;14615;27/11/2023 7:30;29/11/2023 8:41;83,2;17,6;73,3;2,18E+08;14246;28,6;29,3;1517,9;4,5
23125;1;NA;14616;27/11/2023 7:30;29/11/2023 8:45;84;19,5;73,6;1,78E+08;17825;32,1;20,3;1688,1;4,8
23126;1;NA;13170;28/11/2023 7:00;30/11/2023 7:50;80,8;15,3;79,1;1,89E+08;17825;32,4;34,5;2395,4;7,6
23127;1;NA;14614;28/11/2023 7:00;30/11/2023 7:55;80,4;14,5;78;1,98E+08;12912;28,6;29,6;2155,8;7
23129;2;23119;13170;22/11/2023 11:45;24/11/2023 8:30;80;30,3;75,4;2,32E+08;12912;30,4;20,9;1903;6,2
23130;2;23118;13169;22/11/2023 13:00;24/11/2023 8:45;80;30,3;74,1;2,14E+08;14246;31,3;38,4;1116,6;5,2
23131;1;NA;13169;04/12/2023 7:00;06/12/2023 7:40;83,2;18,2;73,5;2,03E+08;17825;40,9;19,5;1778,2;6,9
23132;1;NA;13170;04/12/2023 7:00;06/12/2023 7:40;88;17,8;82,4;2,07E+08;12912;31,6;21,4;2107,7;5,8
23133;1;NA;14614;04/12/2023 7:00;06/12/2023 7:45;85,2;15,8;79,8;2,10E+08;14246;27,4;36,5;1899,6;7
23134;2;23124;14615;29/11/2023 12:35;01/12/2023 9:45;80;19;78,1;1,74E+08;14246;28,1;37,8;1517,9;5,8
23135;2;23125;14616;29/11/2023 12:55;01/12/2023 10:00;80;19,9;77,8;1,64E+08;17825;32,2;11,4;1937,7;6,7
23136;1;NA;13170;18/12/2023 8:40;20/12/2023 8:30;83,2;16,5;71,2;1,73E+08;12912;27,4;17,8;1460,4;5
23137;1;NA;14614;18/12/2023 13:55;20/12/2023 10:15;81,6;16,2;57;2,80E+08;14246;26,9;20,2;526,4;4,2
23138;1;NA;14615;19/12/2023 6:50;21/12/2023 10:20;80;16,2;69;1,86E+08;12912;26;19,2;1468,9;4,9
23139;1;NA;14616;19/12/2023 13:15;21/12/2023 9:30;80;15,9;74,1;1,63E+08;17825;26,7;20;1468,9;6,2
24004;1;NA;14615;16/01/2024 11:30;18/01/2024 9:15;84;18,3;70,2;1,69E+08;14246;28,7;19,5;1385,6;4,2
24003;1;NA;14614;17/01/2024 9:05;19/01/2024 8:40;82,4;15,5;74,4;1,86E+08;17825;33,2;28,3;1275,8;4,2
24005;1;NA;14616;20/01/2024 8:15;22/01/2024 8:00;82,4;16,6;84;2,00E+08;17825;29,5;22,9;1419,7;4,9
24007;1;NA;14617;20/01/2024 8:25;22/01/2024 8:00;80;16,1;85,6;1,65E+08;12912;28,8;23,4;1640,4;6,2
24008;1;NA;14615;20/01/2024 8:25;22/01/2024 8:00;82,4;17,1;84;1,73E+08;14246;29,4;20,8;1575,4;5,4
24011;1;NA;13189;22/01/2024 8:00;24/01/2024 8:20;80;18,3;72,5;1,61E+08;12912;26,6;NA;1571,3;6,6
24016;2;NA;14616;22/01/2024 11:20;24/01/2024 9:00;80;21,4;89,6;1,58E+08;17825;34;NA;1671,8;8,2
24017;2;NA;14617;22/01/2024 11:00;24/01/2024 8:15;80;19,8;83,2;1,60E+08;14246;28,6;24,3;1807;8
24009;1;NA;14614;23/01/2024 6:45;25/01/2024 8:30;80;15,1;74,2;1,70E+08;14246;27;20;1479,5;7,5
24012;1;NA;13170;23/01/2024 6:45;25/01/2024 8:15;80;17,5;87,2;1,81E+08;12912;31,8;25,1;1807,5;7,6
24010;1;NA;13169;27/01/2024 7:10;29/01/2024 8:30;80;19,5;84;1,49E+08;17825;33,4;27,5;1297;8
24020;1;NA;13170;27/01/2024 7:10;29/01/2024 8:15;80;18;84,8;1,39E+08;12912;29,5;20,2;2004;7,9
24022;2;24010;13169;29/01/2024 12:30;31/01/2024 8:30;80;18,8;84;1,56E+08;17825;30,7;23,7;1816,2;9,2
24023;2;24020;13170;29/01/2024 11:15;31/01/2024 8:00;80;18,3;84;1,59E+08;12912;27,8;24,9;1816,2;9
24019;1;NA;14617;03/02/2024 7:00;05/02/2024 8:15;80;16,6;75;1,82E+08;17825;30,1;18,7;1574,7;5,7
24021;1;NA;13169;03/02/2024 7:00;05/02/2024 9:15;80;15,6;71,6;1,64E+08;12912;27,8;15,9;1493,8;6,6
24025;2;24021;13169;05/02/2024 12:25;07/02/2024 10:00;80;20,2;80,8;1,50E+08;12912;30,3;20,1;1750,5;7
24014;1;NA;14615;10/02/2024 7:20;12/02/2024 10:15;83,6;14,6;70;1,54E+08;12912;26,6;17,8;1590,7;5
24015;3;NA;14616;07/02/2024 10:30;09/02/2024 9:10;80;20,8;73,8;1,64E+08;12912;32,4;20,8;1621,4;4,5
24027;1;NA;13170;10/02/2024 7:20;12/02/2024 10:55;83,6;18,7;72,9;1,57E+08;14246;31,2;16,2;1663,2;5,1
24028;2;24027;13170;12/02/2024 14:45;14/02/2024 11:45;80;19,7;80,8;1,64E+08;14246;29,7;26,7;1935,3;8,1
24031;1;NA;13169;17/02/2024 8:00;19/02/2024 7:45;80;14,8;87,2;1,95E+08;14246;29,8;26,1;1812,5;6,9
24037;2;24031;13169;19/02/2024 11:20;21/02/2024 7:00;80;17,9;90,4;1,83E+08;14246;28,2;24;1584,2;6,9
24038;3;24037;13169;21/02/2024 10:55;23/02/2024 7:15;80;19,6;85,6;2,12E+08;14246;29,6;29;1324,6;6,2
24035;1;NA;14614;02/03/2024 7:30;04/03/2024 9:00;80;16,7;61,4;1,46E+08;12912;28,2;13,7;970,8;3
24036;1;NA;14617;02/03/2024 7:30;04/03/2024 9:00;80;14,4;61,2;1,49E+08;14246;24,9;13,5;1194,5;4,1
24040;2;24036;14617;04/03/2024 13:00;06/03/2024 12:00;80;44,4;74,2;9,52E+07;14246;27,8;19,4;1218,3;5,3
24041;1;NA;13169;09/03/2024 8:10;11/03/2024 9:20;80;18,6;77,6;1,45E+08;12912;31;20,7;1101;4,7
24042;1;NA;14615;09/03/2024 8:10;11/03/2024 9:10;80;19;68,4;1,58E+08;14246;30,1;14,5;1151,4;4,3
24046;2;24041;13169;11/03/2024 13:10;13/03/2024 10:50;80;19,9;88;1,57E+08;12912;32,7;28,3;1783,8;7,8
24043;1;NA;14614;12/03/2024 7:25;14/03/2024 8:25;80;19,4;69,7;1,33E+08;14246;30,3;16,2;1254,6;4,7
24045;1;NA;14616;12/03/2024 7:25;14/03/2024 9:15;80;17,5;72,5;1,39E+08;12912;27,8;17,8;1573,5;5,8
24044;1;NA;13170;16/03/2024 9:20;18/03/2024 8:01;83,6;19,3;77,5;1,61E+08;14246;30,7;20,7;1528,7;5,4
24047;2;24044;13170;18/03/2024 13:00;20/03/2024 7:00;80;18;86;2,23E+08;14246;28;27;1794,3;6,6
24049;1;NA;14617;16/03/2024 9:22;18/03/2024 8:23;84;19;73;1,65E+08;12912;31;17;1342,8;4,9
24050;1;NA;14614;23/03/2024 8:57;25/03/2024 8:28;84;18;68;1,52E+08;6379;29;27;1422,8;3,7
24051;1;NA;13169;23/03/2024 8:57;25/03/2024 8:33;84;18;81;1,61E+08;12912;33;19;1486,6;5,5
24052;2;24050;14614;25/03/2024 13:28;27/03/2024 8:51;86;17;69;1,48E+08;14246;24;18;1857,3;6
24053;2;24051;13169;25/03/2024 12:27;27/03/2024 8:27;87;17;79;1,48E+08;12912;27;19;1784,1;7,2
